"Authors","Title","Journal","Year","study_design","aims","intervention1","intervention2","intervention3","description","inclusion_criterion1","inclusion_criterion2","inclusion_criterion3","inclusion_criterion4","inclusion_criterion5","inclusion_criterion6","inclusion_criterion7","inclusion_criterion8","exclusion_criterion1","exclusion_criterion2","exclusion_criterion3","exclusion_criterion4","exclusion_criterion5","exclusion_criterion6","exclusion_criterion7","exclusion_criterion8","exclusion_criterion9","exclusion_criterion10","exclusion_criterion11","exclusion_criterion12","exclusion_criterion13","exclusion_criterion14","exclusion_criterion15","exclusion_criterion16","exclusion_criterion17","exclusion_criterion18","exclusion_criterion19","exclusion_criterion20","exclusion_criterion21","exclusion_criterion22","exclusion_criterion23","exclusion_criterion24","exclusion_criterion25","exclusion_criterion26"
"Schneider et al. 1998","Parkinson’s disease improved function with GM1 ganglioside treatment in a randomized placebo-controlled study","Neurology","1998","Randomised-controlled trial (RCT)","To study the effects of GM1-ganglioside injections on motor symptoms of iPS-patients","other",NA,NA,"Allocation to a. GM1-ganglioside or b. placebo group. At entrance, baseline characteristics were evaluated and all subjects received information on how to perform the administration. 1000mg of active substance solved in 50ml saline solution or only saline solution were administered. Afterwards, subjects were instructed to inject themselves 100 mg GM1-ganglioside daily bid versus placebo over 16 weeks","iPS according to unknown clinical criteria"," age between 40 and 80, Hoehn and Yahr stages 1 to 3"," no presence of motor fluctuations",NA,NA,NA,NA,NA,"substance abuse"," severe psychiatric disturbances"," history of stroke"," head injury"," concomitant Guillain-Barre-Syndrome"," women who were not under birth control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schrag et al. 1999","Reduction of parkinsonian signs in patients with Parkinson’s disease by dopaminergic versus anticholinergic single-dose challenges","Mov. Disord.","1999","Quasi-experimental study","To investigate the effects of single-dose apomorpine or biperiden on tremor, rigidity and bradykinesia in iPS-patients","dopamine_agonist"," anticholinergics",NA,"a. single-dose of subcutanous apomorphine individual dosage determined beforehand, requiring 25 percent UPDRS III reduction or b. 5mg biperiden iv. in off med state","iPS according to UK Brain Bank criteria with tremor",NA,NA,NA,NA,NA,NA,NA,"medical conditions likely to be exacerbated by any of the drugs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schrag et al. 2002","Ropinirole for the treatment of tremor in early Parkinson's disease","Eur. J. Neurol.","2002","Randomised-controlled trial (RCT)","To analyse the effects of ropinirole on tremor in iPS-patients","ropinirole",NA,NA,"All antiparkinsonian treatments, except selegiline, were discontinued at least 4 weeks prior to study entry. Patients were entered into seven day placebo run-in period to assess compliance. Patients who were at least 80% compliant
were allowed t o continue in the study. Subjects were stratified to a. ropinirole or b. placebo","early stage iPS"," no levodopa premedication six weeks before inclusion"," no dopaminergic medication for two weeks"," stable other antiparkinsonian medication two weeks before inclusion",NA,NA,NA,NA,"Treatment with vasodilators, antiarrhythmics, digoxin, calcium channel blockers, angiotensin-converting enzyme inhibitors, or other antihypertensive agents excluding diuretics"," previous treatment with ropinirole"," history of severe systemic disease, major psychosis, or signs of dementia"," history of severe dizziness or fainting"," diastolic blood pressure of less thsn 110mmHg"," recent history of alcoholism or drug dependence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schrag et al. 2002.1","Ropinirole for the treatment of tremor in early Parkinson's disease","Eur. J. Neurol.","2002","Randomised-controlled trial (RCT)","To analyse the effects of ropinirole on tremor in iPS-patients","ropinirole"," bromocriptine",NA,"Randomization into two arms with either a. ropinirole and b. bromocriptine. Intake in blinded design td. initial dosages of 0.75 mg and 1.25 mg respectively was titrated upward at weekly intervals according to patients' response up to maximal 24mg ropinirole and 40mg bromocriptine. Levodopa with decarboxylase inhibitor could be used as adjunct medication if therapeutic response insufficient. Efficacy was assessed after 36 months","iPS according to unknown clinical criteria"," age of 30 years or older"," Hoehn and Yahr stages I to III"," no medication with levodopa or dopamine agonists, selegiline, amantanide or anticholinergics for longer than six weeks",NA,NA,NA,NA,"subjects with additional severe systemic or psychiatric diseases"," history of alcohol or drug dependence"," severe dementia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schrag et al. 2002.2","Ropinirole for the treatment of tremor in early Parkinson's disease","Eur. J. Neurol.","2002","Randomised-controlled trial (RCT)","To analyse the effects of ropinirole on tremor in iPS-patients","ropinirole"," levodopa",NA,"Randomisation to a. ropinirole or b. levodopa. Dosage of study medication were adjusted weekly. Ropinirole was initiated at 0.25mg tid and levodopa therapy at 50mg qd plus placebo twice daily. Maximal dosages were 8mg ropinirole tid  and 400mg levodopa tid. Patients without adequate symptom control despite highest tolerated dose, could be given supplementary levodopa. No other antiparkinsonian therapies were permitted after study initiation.","iPS according to UK Brain Bank criteria"," age between 30 and 80 years"," Hoehn and Yahr stages between 1 and 3)"," necessity of dopaminergic therapy"," Prior treatment with levodopa or dopamine agonists limited to a maximum of six weeks and discontinuation at least two weeks before entry into the study",NA,NA,NA,"Patients suffering from severe dizziness or fainting"," concomitant systemic diseases"," major psychosis"," additional severe dementia"," alcoholism or drug dependence","  contraindication to medication with levodopa"," treatment with monoamine oxidase inhibitor within two weeks before entry with the exception of selegiline"," previous treatment with ropinirole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivertsen et al. 1989","Selegiline and levodopa in early or moderately advanced Parkinson’s disease: a double-blind controlled short- and long-term study","Acta Neurol. Scand.","1989","Randomised-controlled trial (RCT)","To investigate the effects of selegiline as an add-on to levodopa in iPS-patients","mao_inhibitor",NA,NA,"a. selegiline 10mg qd. vs. b. placebo for eight weeks. Consecutively, four weeks washout followed by cross-over eight weeks.","iPS according to unknown clinical criteria"," Hoehn and Yahr stage 1 to 3"," stable dosage of levodopa before entering the study",NA,NA,NA,NA,NA,"marked dementia"," concomitant confusion or psychosis"," history of cardiovascular disease"," medication with dopamine agonists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spieker et al. 1995","Tremorlytic activity of budipine: A quantitative study with long-term tremor recordings","Clin. Neuropharmacol.","1995","Quasi-experimental study","To investigate the long-term effects of budipine as an add-on in tremor-dominant iPS","budipine",NA,NA,"budipine as an add-on to regular dopaminergic therapy individualized dose, mean 58 mg (range 80,80), 10 surface EMG recording at baseline and after 3-5 months","iPS accordint to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"concomitant anticholinergic medication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spieker et al. 1999","Tremorlytic activity of budipine in Parkinson’s disease","Clin. Neuropharmacol.","1999","Randomised-controlled trial (RCT)","To investigate the effects of budipine as an add-on for tremor control in iPS","budipine",NA,NA,"All subjects were treated with either a. bromocriptine 60 mg qd or b. placebo for four months, whith the full dose being reached after six weeks","iPS according to unknown clinical criteria"," constant dosages of levodopa and bromocriptine before inclusion"," LEDD between 200 and 1000mg qd prior to inclusion",NA,NA,NA,NA,NA,"presence of motor fluctuations"," prostate hyperplasia"," concomitant glaucoma"," other anticholinergic medication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Su et al. 2004","A multi-center, randomized, vitamin E controlled and opening clinical trial of selegiline in patients with Parkinson's disease.","Chinese J. Neurol.","2004","Randomised-controlled trial (RCT)","To investigate the clinical efficacy and safety of selegiline as adjunctive treatment of iPS-patients","selegiline",NA,NA,"Patients were randomly assigned to a. oral administration of 5mg selegiline qd and vitamin E 100mg qd both of which were increased at second week to 10mg qd, and the vitamin 100 mg bid or b. administration of vitamin E 100mg qd and 200mg qd at second week. The other medication remianed unaltered","iPS according to UK Brain Bank criteria"," age between 30 and 80 years"," insufficient symptom control after former antiparkinsonian treatment"," Hoehn and Yahr stages I to III","",NA,NA,NA,"Exclusion of severe heart, lung, liver or kidney disease"," concomitant treatment with serotonin reuptake inhibitors"," medical history of recreational drug or alcohol abuse"," clinical signs of dementia"," concomitant psychosis or other central nervous system diseases","  pregnancy and breastfeeding 
women","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Takahashi et al. 2008","Pramipexole safely replaces ergot dopamine agonists with either rapid or slow switching","J Int Med Res","2008","Quasi-experimental study","To investigate the efficacy and safety of switiching from ergot dopamine agonists to pramipexole","pramipexole",NA,NA,"Switching from bromocriptine, cabergoline or pergolide to pramipexole either overnight or over a two week period in equivalent dosages; further dosage adjustment of pramipexole if needed up to 4.5mg qd","iPS according to unknown clinical criteria"," Hoehn and Yahr stages 1 to 4",NA,NA,NA,NA,NA,NA,"concomitant allergies"," additional psychiatric symptoms"," severe hypotension"," concomitant severe heart, kidney or liver dieases"," necessity of long travels by car"," working in height, hazardous daily activities"," pregnancy or breast feeding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tedeschi et al. 1990","Tremor in Parkinson disease: acute response to oral levodopa","Ital. J. Neurol. Sci.","1990","Randomised-controlled trial (RCT)","To investigate the acute tremorolytic effect of oral levodopa","levodopa",NA,NA,"patients with levodopa and carbidopa treatment discontinued anti-parkinsonian medication three weeks prior to study. Postural and rest tremor measured four hours after last habitual intake of levodopa and 45 minutes after administration of a single dose of levodopa and carbidopa or placebo. Accelerometric measurement of finger tremor on more affected side","iPS according to UK Brain Bank criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trosch et al. 1994","Botulinum toxin a injections for the treatment of hand tremors","Mov. Disord.","1994","Quasi-experimental study","To report effects of botulinumtoxin injections on tremor in iPS and essential tremor","botulinum_toxin",NA,NA,"EMG guided individualized botulinumtoxin injections with mean dosage of 107.5U. Muscles were wrist flexors and extensors in almost all patients, additionally other muscles possible. Booster injections after three weeks allowed","iPS according to unknown clinical criteria"," Hoehn and Yahr stage of less than 3"," stable medication for one month",NA,NA,NA,NA,NA,"alcohol abuse"," presence of polyneuropathy"," concomitant cognitive impairment"," motor fluctuations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Van Laar et al. 1998","Stepwise intravenous infusion of apomorphine to determine the therapeutic window in patients with Parkinson’s disease","Clin. Neuropharmacol.","1998","Quasi-experimental study","To characterize the dose-effect relation of apomorphine in iPS-patients","dopamine_agonist",NA,NA,"apomorphine infusion with stepwise increase of dosages every 20 minutes, starting at 10ug per kg per hour and maximum 100 ug per kg per hour, then stepwise decrease to baseline","iPS according to unknown clinical criteria"," stable medication for more than one month",NA,NA,NA,NA,NA,NA,"signs of dementia"," concomitant other diseases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vorasoot et al. 2020","Effects of handwriting exercise on functional outcome in Parkinson disease: A randomized controlled trial","J Clin Neurosci","2020","Randomised-controlled trial (RCT)","To determine whether handwriting exercise improves writing skills and motor function of iPS-patients","other",NA,NA,"handwriting exercises for four weeks vs. no intervention","iPS according to UK Brain Bank criteria"," age of at least 18 years"," Hoehn and Yahr stage 1 to 3 on medication"," stable medication for six weeks prior to study participation"," no presence of motor fluctuations",NA,NA,NA,"therapy with DBS"," concomitant neurological or musculoskeletal disorders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Weiner et al. 1989","The efficacy of (+)-4-propyl-9-hydroxynaphthoxazine as adjunctive therapy in Parkinson’s disease","J. Neurol. Neurosurg. Psychiatry","1989","Quasi-experimental study","Evaluate efficacy and safety of PHNO and Naxagolide in iPS-patients","other",NA,NA,"four three-day treatment periods with PHNO in increasing dosages from 0.25 to 1mg with 4 day wash-out periods in between","iPS according to unknown clinical criteria"," Hoehn and Yahr stage 2-3"," levodopa-responsiveness",NA,NA,NA,NA,NA,"intake of anticholinergics, dopamine agonists or amantadine within one week before enrollment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilken et al. 2019","Latency of re-emergent tremor in Parkinson's disease is influenced by levodopa","Parkinsonism Relat. Disord.","2019","Quasi-experimental study","Study effects of levodopa on amplitude of re-emergent tremor and on tremor pause duration","levodopa",NA,NA,"Acute levodopa challenge test after 12h to 24h medication withdrawal. Baseline tremor activity at rest and with stretched-out arms measured using an accelerometer. Administration of 250mg levodopa. Measurement repeated every 20min after medication until lowest motor score was registered.","IPS according to MDS diagnostic criteria"," presence of rest and re-emergent tremor"," age > 18 years"," Hoehn and Yahr stages 1 to 3",NA,NA,NA,NA,"other known causes of tremor"," recent exposure to tremorgenic drugs"," coexistence of essential tremor"," anatomic or orthopedic upper limb disorders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshii et al. 1996","Treatment of Essential and Parkinsonian Tremor with Nipradilol","Intern. Med.","1996","Quasi-experimental study","To investigate the efficacy and safety of nipradilol for treating tremor in 20 patient with essential tremor and 20 patients with iPS","beta_blocker",NA,NA,"Administration of 6mg nipradilol bid for 8 weeks, with no other beta-blockers within two weeks prior to study and during study. IPS medication unchanged during entire study.","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"severe cardiovascular disease"," systolic blood pressure <100 mmHg"," bronchial asthma"," chronic pulmonary disease"," inadequately controlled diabetes mellitus"," pregnant women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach et al. 2017","Cognitive Stress Reduces the Effect of Levodopa on Parkinson’s Resting Tremor","CNS Neurosci Ther","2017","Quasi-experimental study","To explore the acute effects of levodopa and cognitive stress on resting tremor in iPS-patients","other",NA,NA,"All subjects received levodopa challenge in off-medication state with single dose of 200 of levodopa and 50mg of benserazide","iPS according to UK Brain Bank criteria"," rest tremor with amplitude greater than 0 at least at one upper extremity",NA,NA,NA,NA,NA,NA,"neurological comorbidities"," entrainment or distractibility of tremor"," allergies against any study medication"," MMSE less than 24"," FAB less than 12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach et al. 2020","Dopamine-responsive and dopamine-resistant resting tremor in Parkinson disease.","Neurology","2020","Quasi-experimental study","To explore the effects of supramaximal single dose of levodopa on resting tremor in iPS-patients","levodopa",NA,NA,"After overnight medication withdrawal, administration of single dose dispersible 200mg levodopa and benserazide. Measurement of MDS-UPDRS, accelerometry dorsal on one hand, tremor during rest and during cognitive coactivation","iPS-patient according to UK Brain Bank criteria"," resting tremor that is MDS-UPDRS item 17 greater than 0 at least at one limb",NA,NA,NA,NA,NA,NA,"neurologic comorbidities"," signs of psychogenic tremor"," allergies"," MMSE score less than 25"," FAB score less than 13"," improvement of less than 0,2 after levodopa in akinesia and rigidity MDS-UPDRS subscores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhang et al. 2013","Efficacy and safety of rasagiline as an adjunct to levodopa treatment in Chinese patients with Parkinson’s disease: A randomized, double-blind, parallel-controlled, multi-centre trial","Int J Neuropsychopharmacol","2013","Randomised-controlled trial (RCT)","To investigate the effects of rasagiline as an add-on to levodopa in Chinese iPS-patients","rasagiline",NA,NA,"Participants reveived either a. 1mg rasagiline qd  or b. placebo over 12 weeks. Assessments at baseline and after this period","IPS according to clinical diagnosis with at least two of the symptoms bradykinesia, tremor, rigidity"," age between 30 and 75"," disease duration of less than 10 years"," presence of motor fluctuations"," Hoehn and Yahr stage less than 5 in OFF medication state"," levodopa dose less than 800mg qd",NA,NA,"medication with selegiline within last 60 days"," medication with fluoxetine or fluvoxamine within last 35 days"," significant cognitive dysfunction"," psychiatric problems"," any severe illness"," allergies"," addictions"," pregnancy"," breast feeding"," glaucoma"," dysphagia"," consciousness disorders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhang et al. 2018","The efficacy of homemade tolcapone in the treatment of patients with parkinson’s disease","Exp Ther Med","2018","Randomised-controlled trial (RCT)","To investigate the effects of homemade tolcapone on motor symptoms of iPS-patients","comt_inhibitor",NA,NA,"26 weeks of 100 mg tolcapone as an add-on to levodopa td","iPS according to unknown clinical criteria"," age between 40 and 70 years"," Hoehn and Yahr stage of less than 5 in the ON condition"," stable medication in previous month",NA,NA,NA,NA,"heart disease"," liver disease"," kindey diease"," atypical Parkinsonism"," allergies to drugs or food"," neoplastic disease"," history of mental illness"," hepatitis B"," pregnancy"," breast feeding women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhao et al. 2015","A randomized, double-blind, controlled trial of add-on therapy in moderate-to-severe Parkinson’s disease","Parkinsonism Relat Disord.","2015","Randomised-controlled trial (RCT)","evaluate effects of droxidopa as add-on on motor symptoms and daily living in iPS-patients","droxidopa",NA,NA,"200 mg droxidopa td vs. placebo for 6 weeks","iPS according to UK Brain Bank criteria"," age 45-75"," Hoehn and Yahr stage greater than 3 in the ON condition",NA,NA,NA,NA,NA,"prior intake of COMT- or MAO-inhibitors"," pregnancy"," other diseases"," Deep Brain Stimulation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhou et al. 2019","DL-3-n-butylphthalide therapy for Parkinson’s disease: A randomized controlled trial","Exp Ther Med","2019","Randomised-controlled trial (RCT)","investigate effects of DL-3-n-butylphthalide on motor symptoms, sleep and quality of life in iPS-patients","other",NA,NA,"NBP 200mg td for 24 weeks as an add-on or monotherapy vs. no treatment","iPS according to UK Brain Bank criteria"," age 40-80"," stable medication for 6 weeks or without prior medication"," relative or friend willing to participate",NA,NA,NA,NA,"gastrointestinal, hepatic, renal, respiratory or cardiac disease"," infections"," alcoholism"," drug addiction"," hypersensitivity to celery"," any factor precluding neuropsychological testing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ziegler M.  & Rondot P. (1999)","Activité du piribédil dans la maladie de Parkinson.","La presse medicale","1999","Quasi-experimental study","To investigate the effects of piribedil on levodopa-naive patients with Parkinson’s disease","piribedil",NA,NA,"Measurement at baseline and after three months by experienced neurologist and severeity scored by means of the Webster scale","iPS-patient according to unknown clinical criteria"," resting tremor present with a score of more than 1 on the Webster scale"," Hoehn and Yahr stages between 1 and 3",NA,NA,NA,NA,NA,"bradykinetic-rigid subtypes"," recent cardiovascular diseases such as myocardial infarction or orthostatic dysfunction"," psychiatric comorbidities"," chronic renal or liver diseases"," treatment with neuroleptics or MAO-inhibitors or medication other than levodopa to treat symptoms before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ziegler et al. 2003","Efficacy of Piribedil as Early Combination to Levodopa in Patients with Stable Parkinson’s Disease: A 6-Month, Randomized, Placebo-Controlled Study","Mov. Disord.","2003","Randomised-controlled trial (RCT)","To demonstrate therapeutic benefits of piribedil, in comparison to placebo, as early add-on to levodopa.","piribedil",NA,NA,"administration of placebo during 15 days. Random assignment to a. piribedil plus levodopa or b. placebo plus levodopa. Medication was continued for six months. Starting dosage for medication was 50mg qd. , which was increased every two weeks at 50mg steps to 150mg tid. By the fifth week and up to 6 months, subjects received dosage achieved in the titration phase, whereas levodopa was kept stable until fourth month but could be adjusted afterwards if therapeutic efficacy was not maintained.","iPS according to unknown clinical criteria"," disease duration of less than 10 years"," age between 35 and 75 years"," Hoehn and Yahr stage 1 to 3"," previous therapy with dopamine agonists, anticholinergics, and amantadine discontinued for at least one month before screening"," levodopa treatment for more than six months but less than eight years"," residual parkinsonism on a stable dosage of levodopa between 150mg and 800mg qd"," patients under treatment with selegiline could participate as long as they were on stable dosage more than one month before enrolment","Concomitant treatment with anxiolytics, hypnotics, and antidepressants except for MAO-inhibitors, amineptine, medifoxamine, fluoxetine, and fluphenazine with nortriptyline iff therapies remained unchanged throughout the trial"," presence of motor fluctuations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
